Time,Axis1,Axis2,Axis3,VM,Active
947048040,0,0,0,0,FALSE
947048100,0,0,0,0,FALSE
947048160,0,0,0,0,FALSE
947048220,0,0,0,0,FALSE
947048280,0,0,0,0,FALSE
947048340,0,0,0,0,FALSE
947048400,0,0,0,0,FALSE
947048460,0,0,0,0,FALSE
947048520,0,0,0,0,FALSE
947048580,0,0,0,0,FALSE
947048640,0,0,0,0,FALSE
947048700,0,0,0,0,FALSE
947048760,0,0,0,0,FALSE
947048820,0,0,0,0,FALSE
947048880,0,0,0,0,FALSE
947048940,0,0,0,0,FALSE
947049000,0,0,0,0,FALSE
947049060,0,0,0,0,FALSE
947049120,0,0,0,0,FALSE
947049180,0,0,0,0,FALSE
947049240,0,0,0,0,FALSE
947049300,0,0,0,0,FALSE
947049360,0,0,0,0,FALSE
947049420,0,0,0,0,FALSE
947049480,0,0,0,0,FALSE
947049540,0,0,0,0,FALSE
947049600,0,0,0,0,FALSE
947049660,0,0,0,0,FALSE
